sentence	label
it has many great features and very few bad ones .	1
features : really , there aren 't any features , unless you call the games a feature .	0
it has raised the bar owing to number of features it offers and the absolute ease of use delight .	1
go for the champ .	1
no vibration ! .	1
the main advantage of this system over its predecessor is the ability to open a wider pipeline between clients .	1
they fix the problem and help you with whatever your i-pod needs comes with two usb ports and a charger .	1
the program is called nomad and works great for me and seems to cover all the features the included windows software does .	1
i still need to read up on some of the security settings , etc to fully understand all that 's up there , but bottom-line is that the installation was like night and day compared to the speed boost router .	1
very good balance in the hands and lighter than most 3 1/4 hp models .	1
the touchpad is great once you get used to it , and i much prefer it to standard buttons or scroll wheels ( as on the dell dj for example ) .	1
i 'm an advocate of nokia , but this phone and the following models ( 7610 ) , are seemingly a desperate trial at squeezing as much under-engineered and experimental technologies in one sloppy phone .	0
the picture rs are amazing .	1
absolutely no problems with this router .	1
handset quality is great , as is the speakerphone quality and the headset audio quality .	1
8 . connected the phone to my tablet pc and now can access company von at 56k speed via bluetooth .	1
it 's shorter , sleeker , more compact and fits comfortably in my small hand than the ipod . . . my nokia cell phone towers over this bad boy ! .	1
i found the controls very intuitive and learned how to maneuver through the menus quickly .	1
first , let me say that i got the 20gb ipod for christmas , and i most likely would not have spent the $300 myself .	0
"you don 't need to cough up an extra couple bucks for a "" special edition "" to get black ! . - sound : awesome ! . - batteries : removable/replaceable ."	1
using the software itunes is relatively simple , you just plug the usb cable in , wait your machine to detect the ipod and voila , any songs listed in your itunes library will be transfer ed on over to the ipod .	1
colors : 10 variety of hot colors made it difficult to choose from .	1
the only con i can think of is the lack of a mega-pixel camera .	0
my brother had an old linksys b band wireless router in his home and it was like magic .	1
there are so many functions in this little , yet powerful camera ! .	1
i ended up buying one for upstairs and one for downstairs because it works so well and because i change him so often downstairs .	1
holy cow ! . it really does scratch easily ! .	0
the auto-focus performs well , but i love having the 12 optional scene modes - they are dummy-proof , and correspond to many situations in which i would actually seek to use the camera .	1
but since it 's so small , it isn 't a big deal to bring it with me .	1
i bought my zen micro three months ago mainly because i preferred the size and style to the ipod mini .	1
it takes a while to learn how to use it right , and at this point i am able to make about 70% of my calls using it .	0
3660 had similar features , but that is big in size .	1
the wood can be pushed thru fast or slow with little bog .	1
this means that there is a good chance that this phone will not break easily like typical american phones .	1
the look & feel : i have the black one and the contrasting neon blue on the buttons add a very nice ambiance .	1
it is easy enough to use for a beginner like me but it has plenty of features for me to grow into .	1
it can not be the computer or the owner , since i purchased mcgee anti-virus 8 and it installs and works fine with no problems .	1
if you are looking for an upgrade , this is definitely the phone for you .	1
and also , since it is teri band and since it uses sim-card , you can just use it in europe and many other parts of the world , wherever gsm exists .	1
you can do * so * much more with the pc suite , i . e . free ringtones from midi files , free graphics from any picture on your computer , and if you know how to program jame you can even make your own apps / games .	1
games kind of stink and you cant download them you have to get the link cable to get additional games .	0
"a lot of "" fragments "" were left in the registry , and it the norton system folders ."	0
norton support is completely pathetic .	0
it 's cute as anything and the glowing blue led looks super cool around the edges .	1
the arm band is fantastic and it doesn 't budge even at the gym .	1
i simply hate symantec . i swear , if i could have physically ripped that software out of my computer with my bare , bleeding hands , i would have .	0
i really dislike holding a phone to my ear , and i 've found the free speak to be very comfortable and easy to use with this phone .	1
this phone is good with a huge array of features built into it .	1
but , then again , the ringer can be so loud that i heard it ringing inside my office , when i was already out on the street . . .	1
i downloaded and updated the firmware , and followed the easy setup instructions .	1
saw the hitachi on amazon . com with their $25 . 00 coupon ( at the time ) and could not resist trying it out .	1
outside of the t-mobile service area the phone seamlessly jumped onto at&t wireless and various other services where the t-mobile service was unavailable .	1
you can record your voice and turn it into a ringtone .	1
aside from a 6mb++ built-in phone memory , there 's a 32mb mmc card that goes with it ! .	1
it has a classic design yet looks hip .	1
6 the nikon coolpix line is a well-established line so you know support and parts are going to be available even when nikon releases a newer model .	1
this phone won me over , and a big seller was the size ; . it fits nicely into any pocket without falling out .	1
overall this is a slightly better than average phone .	1
i do not need to repeat what 's great about this phone .	1
mine is as easy to use as the mini without any firmware download .	1
sending the unit to the company of purchase which costs about $90 ) , the ability to record with a built-in microphone ( great for recording reminders and meetings ) , very sturdy construction , and not to mention . . . the sound quality is excellent ! .	1
- solid , high-quality construction	1
the 4300 is a very durable , compact package , and i find nikon to be a brand that i can trust .	1
i have stored 40 audio cds and i still have close to 2 . 8 gb free .	1
after a recent update , i can no longer open more then 1 browser window .	0
these people takes lest effort to process rebate forms .	0
we have been using our diaper champ for almost 14 months now and we are very happy with it .	1
this time , it started the installation process , then i left for work . i think it will work . i hope it will work .	0
however since this router is backward compatible , that doesn 't pose a problem at all .	1
buttons do seem a little sticky tho . . and the hands free kits ' connector might be a problem . .	0
the sound quality is excellent , except , maybe a * tad * too quiet at times when there are quieter talkers on the other end of the line .	1
it is amazing that the battery lasts so long when the phone is so small and light .	1
its nice look is also a plus .	1
the color screen makes this free-after-rebates phone shine bright , and commands are very responsive .	1
what makes it so great is the versatility and the number of features it has .	1
i 've searched the program and their online tech support ( worthless ) and have found no solutions .	0
it 's also easy to empty out .	1
transfering mp3s are a cinch with the included software .	1
overall an excellent phone .	1
the nikon coolpix 4300 is wonderful -- easy to use , high quality , and compact in size .	1
no need for deodorizers .	1
with the enormous numbers of diapers that you go through with a newborn , it was great how easy it was to dispose of the dirty ones .	1
4 . play n-gage games on it .	1
this way i never have to be ripped off by the carrier for stupid ringtones , i can get whatever i want .	1
the use of 65536 ( 16bit ) colors ensures you get your share of animations and icons on your phone	1
the good : 1 ) large lcd screen , colorful display , good resolution .	1
it feels like i 'm back to the days of 56k dial-up internet service , even though i 'm running a dell 2ghz pentium 4 with 256mb memory and have had excellent broadband service for the past year .	0
) the zen micro appears sturdy and well constructed , hefty , if you will , far better than many of its competitors . .	1
i find it very stable and comfortable to use , it doesn 't jump around or make me feel like i need to use a lot of arm strength to keep it under control , and it has very good visibility to see your cut .	1
unless you have an enormous music/audio book library , the 20 gb model should have more than adequate storage capacity , with a stated ability to hold 5000 songs .	1
i am now staring at an array of stuff including zen micro player , stereo earbud headphones , a rechargeable lithium-ion battery , an ac/dc power adapter , a usb 2 . 0 cable , a belt-clip , a stand , a stylish cloth pouch , an installation cd , a quick-start guide , and creative mediasource software .	1
personally , i may never buy symantect products again .	0
1 it has all the features an amatuer photo-enthusiast would want .	1
this version of internet security 2004 , is beyond hope .	0
but you can download some really good ones like pac-man or mafia wars .	1
cuts are easy and smooth .	1
creative did an awesome job with the design .	1
the screen is clear and readable , and the touch pad works very well , it took me less than a day to get the hang of it , and now i like it better than having to click buttons or fiddle with a separate volume control .	1
what i really like about- its quite , it can handle my workload and it was so cheap that i can throw it away and buy another one without blinking .	1
capacity is not a problem here .	1
now the bad : 1 ) as usual , battery power not sufficient for daily usu age .	0
i 've tried the free versions of zone alarm and the free version of skate and they both have a nice and easy installation and work great ! . .	1
once again it won 't reinstall , even with online and email assistance from symantect technicians .	0
i saw a few complaints on the load time of menus and i feel people are over-exaggerating the menu load time .	0
memory/storage - seemingly boundless .	1
the built in fm radio is excellent for people traveling by public transport .	1
the plunge lock and power switch are very easily accessible which is a must when doing free hand routing .	1
in my opinion it 's the best camera for the money if you 're looking for something that 's easy to use , small good for travel , and provides excellent , sharp images .	1
and it 's the largest diaper pail i 've seen without taking up more floor space .	1
the rate plans are also very good , at least for me .	1
1 . record around 1 hour of video with phillips camcorder pro .	1
this is a great diaper pail .	1
- light , compact design	1
its the easiest thing to setup i thought , and i am only 16 . . . so with all that said , buy the router ! . ! . ! . ! .	1
all of the wireless components that i bought were a breeze to set up as well .	1
they also sound excellent compared to other earbuds including retail sets like panasonic's and sennheisers .	1
i see many other reviews that say the same . . . . stay away from norton , they don 't deserve you , or anyone ! .	0
feature for feature , i find it a very sweet little player ; . equipped with a higher end headphone system , between this and th larger zen hardly use my home stereo system anymore .	1
the handsfree provided by the phone is useful for those who talk on the phone while driving .	1
regarding pc software support nokia suite does not work with some versions of xp as i tried to connect my phone via infrared port on my laptop .	0
the picture quality is amazing and you can connect it to your tv and could make silent movies that way if you wanted to .	1
it is without even a slight doubt , my new favorite .	1
features : click wheel to navigate ; . ability to work with windows or mac ; . optional back lighting ( you can have it on all the time , or have it shut off to save battery power after 5 , 10 , or 20 seconds ) ; . ability to download pda info ; . automatic or manual download from itunes when ipod is plugged into your computer .	1
i purchased this router at a woodworking show after watching the ct people using it to demo their bits and was impressed how it performed .	1
the champ did not start letting a little odor through until well over a year .	1
i like the speak phone function a lot .	1
the customer support is pathetic .	0
the battery issue is superficially a concern , but any reasonable solder-jockey ( such as myself : - ) can pop in a new one when the time comes ( based upon the plentiful info gained from a go ogle for 'ipod battery replacement ' ) .	0
