id	qid1	qid2	question1	question2	is_duplicate
360105	489838	489839	Can I develope mobile apps with c++?	How can I develop mobile apps with C++?	1
272491	390783	390784	What is the disadvantage of option subject anthropology?	What are disadvantages of anthropology?	1
151225	22373	141304	Why the banning of 500 and 1000 rupees notes?	Why did GOI demobilise 500 and 1000 rupee notes?	1
170311	263353	263354	Why do Poles dislike Russians?	Why do the Poles dislike Russians more than they dislike Germans?	1
380216	375989	244570	Is SRCC GBO worth joining or is it a course with only a name and not any structure?	How is GBO course of SRCC in terms of placement and faculty?	1
165505	6676	29983	Who won the 2nd presidential Debate?	Who won the 2nd 2016 Presidential debate?	1
300712	423533	423534	What is the difference between B2B, b2c and marketplace?	What are the differences between B2B, B2C and marketplace?	1
120289	171158	92320	How much data can the human brain store? Is there any limit to it? Can humans keep storing information as much as they want? If so, how?	Is there a limit to how much knowledge a human brain can retain?	1
8907	2847	11287	Which was the best film of 2016?	What is the best latest movie?	1
347259	475716	475717	Why was baseball voted out of the 2012 Olympics?	Why was baseball taken out of the Olympics?	1
116344	25113	33397	How do I prepare for BITSAT-2017?	What should be the strategy to prepare for BITSAT 2017?	1
322446	201229	4905	Which are some good non fiction books I should read?	What are some good non-fiction books that I should read?	1
326307	450368	277421	Where are the origins of Ayurved?	Where are the origins of the Ayurveda?	1
56980	100206	100207	What is cultural relativism and what are some examples?	What are some examples of cultural relativism?	1
157672	7530	20472	How will the ban on 500 and 1000 rupee note stop black money?	How banning 500 and 1000 rs note will help fight corruption in India?	1
189254	2209	29700	Quora: How do you post a question on Quora?	How do I post a question in quora?	1
117667	191421	191422	How does it feel to be part of a music video where you see the singer but you can't act like a fan?	"Is it racist to say random Japanese words to a person who ""looks East Asian"" but is not? Is it ok for said person to get angry because of this?"	0
5765	11325	11326	How does Google Analytics on mobile know age and gender?	In Google Analytics, how can I plot an overtime line chart of the percentage of visitors from mobile devices out of total number of visitors?	0
131376	210654	101570	Where can I get Raki in Las Vegas?	"Why is a drink of liquor called a ""shot""?"	0
305437	48012	307636	What are the differences between SEAL Team Six and Delta Force?	What are the differences between Marines and SEALs?	0
231049	222467	70539	What is the meaning of Hindi word 'Danga Fasad'?	What is the meaning of Hindi word 'Gaddar'?	0
348117	476645	206124	Getting Published: Where can you submit a political magazine article and get a response from an editor one way or another?	A magazine asked if they can publish my blog article. What should I ask in return?	0
38551	37106	69993	What is the square root of 40 in radical form?	What is the square root of 7?	0
134356	214755	214756	I am an electrical student. I'm interested in app designing and start a new Android app. But I don't have a basic idea of programming languages. What should I do?	I am tech savy but I have no knowledge of programming. Where should I start for the basics? What are the languages with web links?	0
170324	263370	263371	What are the similarities between ethical egoism and utilitarianism?	I want to prepare for KVPY in class 10th can you give me some advice how to prepare?	0
49197	87585	87586	"I would like to make a business website that has the ""pay N amount per month"" feature. How or where do I get started if I do not have any experience in coding?"	If I made a website that contains only videos how much would I make per month with Google AdSense?	0
158310	247342	247343	Is it high time that Bengaluru is declared as union territory?	Can Bengaluru be created as Union Territory?	0
226031	334544	334545	What are construction drones use for?	Can we use drones for construction?	0
212013	316985	239182	Is electromotive force a force?	What is electromotive force?	0
46068	46892	82443	How can I smile more?	How can I smile well?	0
122775	198640	2856	What is the difference between a Ford Fiesta ST and a ST150?	What is the difference between an UberX, Uber Black and Uber Taxi?	0
254770	369566	80922	Is there any way to access app sandbox in iOS 9 without Jailbreaking?	How do I jailbreak iOS 9.3.4?	0
