index	question	sentence	label
81344	Where does the Rhine originate?	The Rhine originates in a 30 square kilometre area in Switzerland and represents almost 60 percent of water exported from the country.	entailment
99677	What is the children's agency of the United Nations Organization?	The United Nations Organization and its children's agency UNICEF withdrew their staff, saying that it wasn't sure the event would help its mission of raising awareness of conditions for children and amid concerns that the relay would be used as a propaganda stunt.	entailment
24424	In what year did Paul VI die?	This became the last of Paul VI's consistories before his death in August 1978.	entailment
72881	Who was the FA secretary in 1871?	On 20 July 1871, in the offices of The Sportsman newspaper, the FA Secretary C. W. Alcock proposed to the FA committee that "it is desirable that a Challenge Cup should be established in connection with the Association for which all clubs belonging to the Association should be invited to compete".	entailment
40329	How far is to the neighboring capitol of San Jose de Mayo?	The approximate distances to the neighbouring department capitals by road are, 90 kilometres (56 mi) to San Jose de Mayo (San Jose Department) and 46 kilometres (29 mi) to Canelones (Canelones Department).	entailment
5621	When did the poultry business boom in the United States ?	By the mid-20th century, the poultry meat-producing industry was of greater importance than the egg-laying industry.	entailment
36745	As of 2004, how many Nobel Prize winners had roots in New York institutions?	New York City has the most post-graduate life sciences degrees awarded annually in the United States, with 127 Nobel laureates having roots in local institutions as of 2004; while in 2012, 43,523 licensed physicians were practicing in New York City.	entailment
29537	In what year did Lee stop giving interviews about the book?	Starting in 1964, Lee began to turn down interviews, complaining that the questions were monotonous, and grew concerned that attention she received bordered on the kind of publicity celebrities sought.	entailment
98806	What was the late 16th century war against Habsburg Austria known as?	The Long War against Habsburg Austria (1593–1606) created the need for greater numbers of Ottoman infantry equipped with firearms, resulting in a relaxation of recruitment policy.	entailment
37134	How could a citizen avoid their labor duty to their local temple?	Citizens had a labor duty to the temple, though they could avoid it by a payment of silver.	entailment
27085	On what date was the publication of the Plan for Plymouth?	On 27 April 1944 Sir Patrick Abercrombie's Plan for Plymouth to rebuild the bomb-damaged city was published; it called for demolition of the few remaining pre-War buildings in the city centre to make way for their replacement with wide, parallel, modern boulevards aligned east–west linked by a north–south avenue (Armada Way) linking the railway station with the vista of Plymouth Hoe.	entailment
7400	What kind of network does SURE provide it's service from?	SURE provide the telecommunications service in the territory through a digital copper-based telephone network including ADSL-broadband service.	entailment
71410	What is it called when a law disallows copyright owners from denying a license for certain uses?	Another example is the practice of compulsory licensing, which is where the law forbids copyright owners from denying a license for certain uses of certain kinds of works, such as compilations and live performances of music.	entailment
37344	What else are these genes closely related to?	Many of these genes are related to the immune system or modulating inflammation.	entailment
52087	What island besides St. Barts was granted COM status by France in 2007?	On 7 February 2007, the French Parliament passed a bill granting COM status to both St. Barthélemy and (separately) to the neighbouring Saint Martin.	entailment
98851	The population of Israel rose from 800,000 to what between 1948 and 1958?	Consequently, the population of Israel rose from 800,000 to two million between 1948 and 1958.	entailment
12464	What principle did John's predecessors use?	There was as yet no model for what should happen if a king refused to do so.	not_entailment
21651	What two formats replaced the 78?	RCA Victor developed the 45 rpm format and marketed it in March 1949, each pursuing their own r&d in secret.	not_entailment
14376	What is mainly responsible for the connection of the antenna to its end destinations?	In a so-called aperture antenna, such as a horn or parabolic dish, the "feed" may also refer to a basic antenna inside the entire system (normally at the focus of the parabolic dish or at the throat of a horn) which could be considered the one active element in that antenna system.	not_entailment
20496	Who suggested research into the possibility of a Greek nuclear power plant should begin?	In line with the European Commission's Directive on Renewable Energy, Greece aims to get 18% of its energy from renewable sources by 2020.	not_entailment
48671	At which point in a game is the time the offence takes to put the ball in play measured?	Instead of the penalty being 5 yards with the down repeated, the base penalty (except during convert attempts) becomes loss of down on first or second down, and 10 yards on third down with the down repeated.	not_entailment
103632	Who did William IV feel was a suitable husband for Victoria?	Leopold arranged for Victoria's mother to invite her Coburg relatives to visit her in May 1836, with the purpose of introducing Victoria to Albert.	not_entailment
30044	What type of food is Armenian food most similair to?	Armenian cuisine is as ancient as the history of Armenia, a combination of different tastes and aromas.	not_entailment
11711	What is the largest nationwide broadcaster in San Diego?	Star 94.1, FM 94/9, FM News and Talk 95.7, Q96 96.1, KyXy 96.5, Free Radio San Diego (AKA Pirate Radio San Diego) 96.9FM FRSD, KSON 97.3/92.1, KXSN 98.1, Jack-FM 100.7, 101.5 KGB-FM, KLVJ 102.1, Rock 105.3, and another Pirate Radio station at 106.9FM, as well as a number of local Spanish-language radio stations.	not_entailment
5232	What was HP's growth during the third quarter of 2006?	Both Gartner and IDC estimated that in the third quarter of 2006, HP shipped more units worldwide than Dell did.	not_entailment
75470	How did Hegel believe historical reality to be knowable to a philosopher?	Hegel called his philosophy "absolute" idealism in contrast to the "subjective idealism" of Berkeley and the "transcendental idealism" of Kant and Fichte, which were not based on a critique of the finite and a dialectical philosophy of history as Hegel's idealism was.	not_entailment
10886	What did OMB hope to provide with their revision on race and ethnicity in 1997?	Among the changes, OMB issued the instruction to "mark one or more races" after noting evidence of increasing numbers of interracial children and wanting to capture the diversity in a measurable way and having received requests by people who wanted to be able to acknowledge their or their children's full ancestry rather than identifying with only one group.	not_entailment
86052	Grammar schools that did not close were converted to what?	Many grammar schools were either closed or changed to comprehensive status.	not_entailment
66776	What did Kanye state that Yeezus was?	It also continues West's practice of eclectic samples: he employs a sample of Nina Simone's "Strange Fruit," an obscure Hindi sample on "I Am a God", and a sample of 1970s Hungarian rock group Omega on "New Slaves".	not_entailment
42159	The transition zone between east and west is called what?	In the far eastern part of the state the Chihuahuan Desert dominates due to low precipitation and extremely high temperatures; some areas of the eastern part of the state are so dry no vegetation is found like the Sand Dunes of Samalayuca.	not_entailment
45424	Who were some Armenian pop artists?	Richard Hagopian is perhaps the most famous artist of the traditional "kef" style and the Vosbikian Band was notable in the 1940s and 1950s for developing their own style of "kef music" heavily influenced by the popular American Big Band Jazz of the time.	not_entailment
33689	What non-linguistic developments influence the status of a language?	Romansh came to be a written language, and therefore it is recognized as a language, even though it is very close to the Lombardic alpine dialects.	not_entailment
