sentence	label
Whose special bear 's creator was born on January 18 , 1779 ?	3
Who commanded the French forces at the Battle of Orleans ?	3
What was Mark Johnson referring to when he said : `` I still can 't believe it- we beat the Russians ? ''	1
What is the abbreviation for Original Equipment Manufacturer ?	2
Who established a Viking colony in Greenland about 985 ?	3
Where are the busiest ports in the world ?	4
What is the world 's deadliest infectious disease ?	1
How does the speed the magnet spins in a generator affect the output of the generator ?	0
What is the name of the Michelangelo painting that shows two hands with fingers touching ?	1
When did beethoven die ?	5
Who was the Russian ambassador to Hungary during the 1956 uprising ?	3
What daily newspaper will `` help you see clearer across the USA '' ?	1
How many inches tall is Stuart Little at birth ?	5
What actor dressed up as Santa Claus and had a once-a-year affair with actress Shelley Winters every Christmas for many years ?	3
How do they raise the cranes when building high-rise buildings ?	0
How many Jews were executed in concentration camps during WWII ?	5
How many pairs of legs does a lobster have ?	5
What are all the different kinds of contraceptives ?	1
What is the theory of equivalence states ?	0
What does G.M.T. stand for ?	2
What happened during the Blackhawk Indian war of 1832 ?	0
In what religion was Isis the nature goddess ?	1
What is `` the soft drink for adults '' ?	1
What 's the green variety of beryl called ?	1
What hard-of hearing artist painted Sunflowers ?	3
What Aesop 's fable has the moral : `` The race is not always to the swift. Slow and steady is bound to win '' ?	1
Who was the first woman governor of Wyoming ?	3
When was the bar-code invented ?	5
Who are the nomadic hunting and gathering tribe of the Kalahari Desert in Africa ?	3
Who was the last U.S. president to reinstate Selective Service registration ?	3
What university was Woodrow Wilson President of ?	3
How do I get a complete list of all the people that are living with the last name Kilvington ?	0
Who was the author of the novel `` Far From the Madding Crowd '' ?	3
What future President became Senate majority whip under Harry Truman ?	3
What disease did August von Wassermann develop a specific test for in 196 ?	1
What is SAP ?	2
Who wrote ` Dubliners ' ?	3
Who were the five Marx brothers ?	3
Why does a wheel , e.g. a car tire , appear to spin in the opposite direction as it slows down ?	0
What is `` the great American family cereal '' ?	1
Why is hockey so violent ?	0
What are the two cities in Dicken 's `` A Tale of Two Cities '' ?	4
Where is Burma ?	4
Why do they sterilize the needle for lethal injection ?	0
What is the federal minimum wage ?	5
What does the abbreviation IOC stand for ?	2
What is the origin of the word , JJ .	0
What author did photographer Yousuf Karsh call `` the shiest man I ever met '' ?	3
How many URL extensions are there ? and what are they ?	5
Who is the prime minister of Australia ?	3
What kind of species is the monster in the film `` Jaws '' ?	1
What is the fear of the computer called ?	1
Which large U.S. city had the highest murder rate for 1988 ?	4
What was an `` Asiento '' ?	0
Where did the term fireplug come from ?	0
What type of bridge is the Golden Gate Bridge ?	1
Who killed Kurt Cobain ?	3
What series of trials followed World War II ?	1
Which college did Dikembe Mutombo attend ?	3
Who created Maudie Frickett ?	3
Who was the captain of the tanker , Exxon Valdez , involved in the oil spill in Prince William Sound , Alaska , 1989 ?	3
What creative genius said : `` Everything comes to him who hustles while he waits '' ?	3
How do I e-mail someone at aol.com from yahoo.com ?	0
What are amaretto biscuits ?	0
What city has the world 's longest subway system ?	4
Why are there letters on the telephone ? Why are there no Q or Z ?	0
How many websites are there in the world ?	5
What building built in 18 contains 327 miles of book shelves ?	4
What are differences between 1980 and 1990 ?	0
What is the fare cost for the round trip between New York and London on Concorde ?	5
What was the nickname of Frederick I , Holy Roman Emperor and King of Germany ?	3
Who is stationed at Camp Swampy in the comic strips ?	3
Who invented Make-up ?	3
What year was the first automobile manufactured ?	5
What company is being bought by Yahoo and how much is the deal worth ?	3
What garment was named for Bradley , Voorhees and Day ?	1
What game is fatal to anybody over 21 ?	1
Why do you say `` God bless you '' when people sneeze ?	0
Where can I find information on the cyclone that hit New Jersey on 8/28/1941 ?	4
How is cologne made ?	0
What is the price for AAA 's liability auto insurance ?	5
What author landed a 468-pound marlin without harness in the early 193 's ?	3
What city is often called The Insurance Capital of the World ?	4
Where is the highest point in Japan ?	4
What 's a male witch called ?	1
What is her husband 's name ?	3
How can I get someone 's phone number if I only have their screen name ?	0
What does the name `` Sabrina '' mean ?	0
How do you convert foot-pounds to foot-inches ?	0
What Ernest Hemingway novel had the working title Fiesta ?	1
What does the T.S. stand for in T.S. Eliot 's name ?	2
What feud ended with a marriage in Kentucky on March 21 , 1891 ?	1
In Beetle Bailey , can you name Sarge 's dog ?	1
What civil war was fought between 1936 and 1939 ?	1
Who is Luke Skywalker 's father ?	3
What is ouzo ?	0
How many people are taller than 7 feet ?	5
What is the longest river in the United States ?	4
What are amicable numbers ?	0
Who was the only president to serve two nonconsecutive terms ?	3
What was the filling in the first golf balls ?	0
What are the three most successful companies of our time ?	3
How much folic acid should an expectant mother get daily ?	5
How did P.T. Barnum bill the diminutive Charles S. Stratton ?	0
What TV series features the adventures of a married couple named Jonathan and Jennifer ?	1
What is BPH ?	2
What features of the African elephant are larger than those of the Indian elephant ?	0
What is the length of border between the Ukraine and Russia ?	5
Who is Imam Hussain Ben Ali whom Shia people believe in ?	3
How do wasps make their nests ?	0
How do vending machines tell if your dollar is a 1 or a 5 ?	0
What are the top five oil-producing countries in the world ?	4
What is the `` fourth dimension '' ?	0
What famed river was Hernando de Soto the first European to see ?	4
What National Basketball Association superstar told his story in Giant Steps ?	3
What caused Harry Houdini 's death ?	0
What is the English translation for the word `` caliente '' ?	1
In what part of Africa is Mozambique located ?	4
What is goldenseal ?	0
Where can I buy a good snowboard for less than $200 ?	4
How many Beanie Baby sites are there ?	5
What 's the symbol for the zodiacal sign Gemini ?	1
What do you call a `` twirl '' in ballet ?	1
What year was the ATM first introduced ?	5
What is the term for a group of geese ?	1
In Sinclair Lewis ' `` Main Street , '' what was the name of the typical American town ?	4
How do they find or choose witnesses to an execution ?	0
Who portrayed George M. Cohan in 1942 's Yankee Doodle Dandy ?	3
What 's the name of Pittsburgh 's baseball team ?	3
What do bicornate animals have two of ?	1
What is the largest natural lake in Pennsylvania ?	4
What condiment do the Dutch dip their French fries in ?	1
What is the origin of thank you notes ?	0
What 's the world 's largest cathedral ?	4
What are the top vegetable crops in the world ?	1
How can I get a CCT diagram ?	0
Who made the deodorant that claimed that it `` actually builds up resistance to odor '' ?	3
Who earns their money the hard way ?	3
What is a fear of being alone ?	1
What is dextropropoxyphen napsylate ?	0
What desert has been called The Garden of Allah ?	4
Who was The Pride of the Yankees ?	3
What J.R.R. Tolkien book features Bilbo Baggins as the central character ?	1
What facial feature did Walt Disney sport that none of Disney 's employees is allowed to ?	0
What is the occupation of Nicholas Cage ?	3
Where can I get information and statistics on countries and nations ?	4
What is white chocolate ?	0
What does 7847+5943 equal ?	5
Who was Lauren Bacall 's first husband ?	3
What will a compass do in outer space ?	0
Who was the girl in Peter Sellers 's soup ?	3
What is the name of the largest city in Chile , South America ?	4
What animals did The Amazing Three masquerade as ?	1
What is the origin of infinity ?	0
Name the product that is `` at your grocer 's , at your fingertips . ''	1
What D.H. Lawrence novel was originally titled Tenderness ?	1
Who is the richest person in the world , without owning a business ?	3
What is the fear of being loved ?	1
What capital is built around Monument Circle which contains soldiers and sailors monument ?	4
What is the cost of the drugs used in tuberculosis treatments ?	5
What are shooting stars ?	0
What killed Bob Marley ?	1
Where does `` bovine '' come from ?	0
What is a movie that Kevin Costner made about Sioux Indians ?	1
Who is actress Goldie Hawn 's current actor boyfriend ?	3
What is the full name of the PLO ?	2
What Japanese manufacturer is known for both its pianos and its motorcycles ?	3
What is `` cat scratch fever '' ?	0
What is titanium ?	0
What actor married John F. Kennedy 's sister ?	3
What 's the name of Jacques Cousteau 's research ship ?	1
Who created Billy Pilgrim , a survivor of the Dresden firestorm ?	3
Who played the father on `` Charles in Charge '' ?	3
What is the text of the Fifth Amendment ?	0
What is Butterfield 8 in Butterfield 8 ?	0
What London street claims to be the world center for men 's tailoring ?	4
What is a fear of hair ?	1
What woman pitcher has struck out Ted Williams and Hank Aaron ?	3
How many e-commerce companies are started every day ?	5
What percentage of Americans own their homes ?	5
What soft drink held a national flavor poll in 1967 ?	1
What organization did Mr. Waverly assign agents for ?	3
What does Esa-Pekka Salonen look like ?	0
Where is the group M People from ?	4
Who was the founding member of the Pink Floyd band ?	3
What United States city produces the most oil ?	4
What bestselling modern poet was the co-founder of the famous City Lights Bookshop in San Francisco ?	3
What are the Twin Cities ?	0
When do MORMONS believe Christ was born ?	5
Who won a Pulitzer Prize for his novel The Caine Mutiny ?	3
What famous comedian recently tried without success to revive the play ?	3
What U.S. state borders Illinois to the north ?	4
What is the C programming language ?	0
How many penny-farthings are there on a Trivial Pursuit game board ?	5
How many milliseconds in a second ?	5
What city 's theatrical district has been dubbed The Roaring Forties ?	4
