Quality	#1 ID	#2 ID	#1 String	#2 String
0	707136	707112	In court papers filed Tuesday , Lee asked for an injunction against Viacom 's use of the name , saying he had never given his consent for it to be used .	In papers filed Tuesday in Manhattan 's state Supreme Court , Lee asked for an injunction against Viacom 's use of the name Spike for TNN .
0	2110325	2110199	Lt. Scotty Smither , a county firefighter , was struck by lightning .	A county firefighter , was struck by lightning and was in stable condition at Frankfort Regional Medical Center .
0	91456	91526	" These are defining moments for players and organizations , " Anaheim coach Mike Babcock said .	" There are defining moments for players and organizations where you are measured .
0	3416795	3416666	He also wrote the state was right to execute a search warrant at the store .	He said he had told the state police to execute a search warrant but stop if they encountered resistance .
0	3114205	3114194	That compared with $ 35.18 million , or 24 cents per share , in the year-ago period .	Earnings were affected by a non-recurring $ 8 million tax benefit in the year-ago period .
0	2414757	2414471	For the first time starting Thursday , all four pages of the Constitution will be on view instead of just the first and last pages .	And for the first time , all four pages of the Constitution will be on permanent display .
0	2806879	2806935	It doesnt appear the children struggled , Prowers County Coroner Joe Giadone said Saturday .	The cause of death is drowning , and the manner of death is homicide , Prowers County Coroner Joe Giadone said .
0	3044868	3044958	" It ends tonight , " a grim Keanu Reeves announces , in the trailer for The Matrix Revolutions .	Keanu Reeves and Hugo Weaving in a scene from the motion picture The Matrix Revolutions .
0	1281485	1281634	Analysts have estimated that Vivendi Uni could fetch $ 12 billion- $ 14 billion for VUE .	Analysts have estimated that the two networks could fetch as much as $ 7 billion .
0	725438	725115	Aileen Boyle , a Simon & Schuster spokeswoman , declined to comment on any potential legal action .	Simon & Schuster declined comment on the potential lawsuit and would not confirm the contents of the story .
0	1209978	1209647	Cabrera was called up to help in left field because Todd Hollandsworth has not been productive .	Cabrera was called up Friday from Double A Carolina and started in left field .
0	1211445	1211102	After learning she would no longer get an experimental drug that treated her severe peanut allergy , Allison Smith reacted with panic .	The nurse called Allison Smith with the news : The experimental drug that so effectively treated her severe peanut allergy was being taken away .
0	1563710	1563816	It says the intervention force will confiscate weapons , reform the police , strengthen the courts and prison system and protect key institutions such as the Finance Ministry .	It will also help reform the Royal Solomon Islands Police , strengthen the courts and prisons system and protect key institutions such as the Finance Ministry from intimidation .
0	89215	89463	Last week , Prime Minister Atal Bihari Vajpayee ended an 18-month chill in relations by ordering normalisation of diplomatic ties and restoration of air services with Pakistan .	The move follows a recent proposal by Mr Vajpayee , whoended an 18-month chill in relations by ordering normalisation of diplomatic links and restoration of air services with Pakistan .
0	2053014	2053108	Both Estrada and Honasan have denied any involvement in the failed military rebellion .	Mr Estrada has denied any involvement in the plot .
0	1957823	1957694	Tenet has been under scrutiny since November , when former Chief Executive Jeffrey Barbakow said the company used aggressive pricing to trigger higher payments for the sickest Medicare patients .	In November , Jeffrey Brabakow , the chief executive at the time , said the company used aggressive pricing to get higher payments for the sickest Medicare patients .
1	2332633	2332760	Before the blast , Wells told police he had been forced to rob the bank and asked police to help him remove the bomb .	Wells , 46 , said he was forced to rob the bank and asked police to help take the bomb off .
1	2264210	2264194	However , the standards body warns that changes to Internet Explorer may affect a " large number " of existing Web sites .	Still , changes to IE " may affect a large number of existing Web pages , " according to the W3C 's notice .
1	2244016	2243958	" Any decision on Charleroi will have huge implications for regional airports in France , " he said .	" A bad decision on Charleroi would have huge implications for state-owned regional airports in France .
1	1601705	1601584	A suburban Chicago man was arrested Wednesday on charges of secretly gathering information on Iraqi opposition figures as an unregistered agent of Saddam Hussein 's intelligence service .	The FBI arrested a suburban Chicago man Wednesday and charged him with secretly collecting information on individuals in the United States who opposed Saddam Hussein 's Iraqi government .
1	882005	881903	The girl turned up two days later at a convenience store several cities away , shaken but safe , and helped lead police to her alleged abductor .	The arrest came hours after the girl turned up at a convenience store several cities away and helped lead police to her alleged abductor .
1	702543	702500	" Dan brings to Coca-Cola enormous experience in managing some of the world 's largest and most familiar brands , " Mr. Heyer said .	In a statement , Heyer said , " Dan brings to Coca-Cola enormous experience in managing some of the world 's largest and most familiar brands .
1	786550	786525	" The benefit is equal for everyone , both in traditional Medicare and in the enhanced Medicare we 're setting up . "	" The ( drug ) benefit is equal for everyone , both in traditional Medicare and in the enhanced Medicare we 're setting up , " Grassley said .
1	1602801	1602232	The couple was granted an annulment in September 2001 and Joanie Harper was given sole custody of Marques and Lyndsey , court records show .	Joanie Harper and Brothers were granted an annulment in September 2001 , and Harper was given sole custody of Marques and Lyndsey , court records show .
1	507548	507739	" Indeed , Iran should be put on notice that efforts to try to remake Iraq in their image will be aggressively put down , " he said .	" Iran should be on notice that attempts to remake Iraq in Iran 's image will be aggressively put down , " he said .
1	1477526	1477562	" We disagree with the judge 's decision on notice for Engine Company 261 , " said a statement by Michael A. Cardozo , the city 's corporation counsel .	He added that : " We disagree with the judge 's decision on notice for Engine Company 261 . "
